endpoint,method,parameter,type,required,multiple,description
properties,getFloorPlans,includeDisabledFloorPlans,boolean_string,False,False,"This is an optional field. This field accepts a single value. If provided value is 1, then disabled floorplans will be included along with the enabled ones."
properties,getFloorPlans,propertyFloorPlanIds,string,False,True,This is an optional field. This field accepts comma separated multiple values for Property Floor Plan IDs.
properties,getFloorPlans,usePropertyPreferences,boolean_string,False,False,This is an optional field. This field accepts a single value. Checks for the property settings manipulate floorplan data and honor those settings.
properties,getProperties,propertyIds,string_list,False,True,"This is an optional field. This field accepts comma separated multiple values (concatenated into a single, comma-separated string) representing Property IDs."
properties,getProperties,propertyLookupCode,string,False,False,This is an optional field. This field accepts a single value for the Property Lookup Code.
properties,getProperties,showAllStatus,boolean_string,False,False,This is an optional field. This field accepts a single value to show all statuses.
properties,getPropertyAddOns,propertyId,integer,True,False,This is a required field. This field accepts a single value for the Property ID.
properties,getPropertyAddOns,addOnIds,integer,False,True,This is an optional field. This field accepts comma separated multiple values for the Add-On IDs.
properties,getPropertyAnnouncements,propertyId,integer,True,False,This is a required field. This field accepts a single value for the Property ID.
properties,getPropertyAnnouncements,announcementIds,integer,False,True,This is an optional field. This field accepts comma separated multiple values for the Announcement IDs.
properties,getPropertyRentableItems,propertyId,integer,True,False,This is a required field. This field accepts a single value for the Property ID.
properties,getPropertyRentableItems,rentableItemIds,integer,False,True,This is an optional field. This field accepts comma separated multiple values for the Rentable Item IDs.
propertyunits,getPropertyUnits,propertyIds,string,True,True,This is a required field. This field accepts comma separated multiple values for Property IDs.
propertyunits,getPropertyUnits,availableUnitsOnly,boolean_string,False,False,"This is an optional field. This field accepts a single value. If provided value is 1, only available units will be returned."
propertyunits,getPropertyUnits,includeDisabledFloorPlans,boolean_string,False,False,"This is an optional field. This field accepts a single value. If provided value is 1, disabled floorplans will be included along with the enabled ones."
propertyunits,getPropertyUnits,includeDisabledUnits,boolean_string,False,False,"This is an optional field. This field accepts a single value. If provided value is 1, disabled units will be included along with the enabled ones."
propertyunits,getPropertyUnits,usePropertyPreferences,boolean_string,False,False,"This is an optional field. This field accepts a single value. If enabled, the Entrata setting 'Max Available Units per Floor Plan' will be honored and the available units returned will be reduced. Also requires using the availableUnitsOnly parameter as true (1)."
propertyunits,getUnitTypes,propertyId,integer,True,False,This is a required field. This field accepts a single value for the Property ID.
queue,getResponse,queueId,string,True,False,This is a required field. This field accepts single value. This node accepts the queueId. This should be a JWT token. This token should get generated from the getReportData(r3) version.
queue,getResponse,serviceName,string,True,False,This is a required field. This field accepts single value. This node accepts the service name for which the apiToken is added.
reports,getReportData,filters,object,True,False,"This is a required field. This field accepts a single value. For each report, there are filter parameters required, such as property ID, dates, etc. You can get filters for each report using the getReportsInfo web service."
reports,getReportData,reportName,string,True,False,"This is a required field. This field accepts a single value for the report name. Once passed, the web service will return report data for that report."
reports,getReportData,reportVersion,string,True,False,This is an optional field. This field accepts a single value. Will filter results as per the available report versions.
reports,getReportDependentFilter,dependentFilter,string,True,False,This is a required field. This field accepts a single value for the dependent filter. The values of these filters will be returned based on the parent fields mentioned in the 'filters' section.
reports,getReportDependentFilter,filters,string,True,False,"This is a required field. This field accepts a single value. Parent filters are mentioned here, and based on these values, the dependent filters will be returned."
reports,getReportDependentFilter,reportName,string,True,False,"This is a required field. This field accepts a single value for the report name. Once passed, the web service will return values of the dependent filter for that report."
reports,getReportInfo,reportName,string,True,False,This is a required field. This field accepts a single value for the report name.
reports,getReportInfo,reportVersion,string,False,False,This is an optional field. This field accepts a single value. Will filter results based on the available report versions.
reports,getReportList,,,,False,
status,getStatus,,,,False,
